word,frequency_rank,band
needs,422,high
nice,423,high
playing,424,high
probably,425,high
saying,426,high
understand,427,high
yeah,428,high
york,429,high
class,430,high
close,431,high
comes,432,high
idea,434,high
international,435,high
looks,436,high
past,437,high
possible,438,high
wanted,439,high
b,440,high
cause,441,high
due,442,high
happy,443,high
human,444,high
members,445,high
months,446,high
move,447,high
question,448,high
r,449,high
series,450,high
wait,451,high
woman,452,high
ask,453,high
community,454,high
data,455,high
late,456,high
leave,457,high
north,458,high
saw,459,high
special,460,high
watch,461,high
c,463,high
either,464,high
fucking,465,high
future,466,high
light,467,high
low,468,high
million,469,high
morning,470,high
police,471,high
short,472,high
stay,473,high
taken,474,high
age,475,high
buy,476,high
deal,477,high
rather,478,high
reason,479,high
red,480,high
report,481,high
soon,482,high
third,483,high
turn,484,high
whether,485,high
among,486,high
check,487,high
development,488,high
form,489,high
further,490,high
heart,491,high
minutes,492,high
myself,493,high
services,494,high
yourself,496,high
act,497,high
although,498,high
asked,499,high
child,500,high
fire,501,high
fun,502,high
living,503,high
major,504,high
media,505,high
phone,506,high
players,507,high
art,508,high
behind,509,high
building,510,high
easy,511,high
gonna,512,high
market,513,high
near,514,high
non,515,high
plan,516,high
political,517,high
quite,518,high
six,519,high
talking,520,high
west,521,high
works,522,high
according,523,high
available,524,high
e,525,high
education,526,high
final,527,high
former,528,high
front,529,high
kids,530,high
list,531,high
ready,532,high
sometimes,533,high
son,534,high
street,535,high
bring,537,high
college,538,high
current,539,high
example,540,high
experience,541,high
heard,542,high
london,543,high
meet,544,high
program,545,high
type,546,high
baby,547,high
chance,548,high
father,549,high
march,550,high
process,551,high
song,553,high
study,554,high
word,555,high
across,556,high
action,557,high
clear,558,high
gave,559,high
gets,560,high
himself,561,high
month,562,high
outside,563,high
self,564,high
students,565,high
words,566,high
board,567,high
cost,568,high
cut,569,high
dr,570,high
field,571,high
held,572,high
instead,573,high
main,574,high
moment,575,high
mother,576,high
road,577,high
seems,578,high
thinking,579,high
town,580,high
wants,581,high
de,582,high
department,583,high
energy,584,high
fight,585,high
fine,586,high
force,587,high
hear,588,high
issue,589,high
played,590,high
points,591,high
price,592,high
re,593,high
rest,594,high
results,595,high
running,596,high
shows,597,high
space,598,high
summer,599,high
term,600,high
wife,601,high
america,603,high
beautiful,604,high
date,605,high
goes,606,high
killed,607,high
land,608,high
miss,609,high
project,610,high
sex,611,high
shot,612,high
site,613,high
strong,614,high
account,616,high
co,617,high
especially,618,high
eyes,619,high
include,620,high
june,621,high
parents,622,high
period,623,high
position,624,high
record,625,high
similar,626,high
total,627,high
w,628,high
above,629,high
club,630,high
common,631,high
died,632,high
film,633,high
happened,634,high
knew,635,high
lead,636,high
likely,637,high
military,638,high
perfect,639,high
personal,640,high
security,641,high
share,642,high
st,643,high
tv,644,high
won,646,high
x,647,high
april,648,high
center,649,high
county,650,high
couple,651,high
dead,652,high
english,653,high
happen,654,high
hold,655,high
industry,656,high
inside,657,high
issues,658,high
online,659,high
player,660,high
private,661,high
problems,662,high
return,663,high
rights,664,high
sense,665,high
star,666,high
test,667,high
view,668,high
weeks,669,high
break,670,high
british,671,high
companies,672,high
event,673,high
higher,674,high
hour,675,high
l,676,high
member,677,high
middle,678,high
needed,679,high
present,680,high
result,681,high
sorry,682,high
takes,683,high
training,684,high
wish,685,high
answer,687,high
boy,688,high
design,689,high
finally,690,high
girls,691,high
gold,692,high
gone,693,high
guess,694,high
interest,695,high
july,696,high
king,697,high
learn,698,high
policy,699,high
society,700,high
added,701,high
al,702,high
alone,703,high
average,704,high
bank,705,high
brought,706,high
certain,707,high
church,708,high
east,709,high
hands,710,high
hot,711,high
longer,713,high
medical,714,high
movie,715,high
original,716,high
park,717,high
performance,718,high
press,719,high
received,720,high
role,721,high
sent,722,high
themselves,723,high
tried,724,high
worked,725,high
worth,726,high
areas,727,high
became,728,high
bill,729,high
books,730,high
cool,731,high
director,732,high
exactly,733,high
giving,734,high
ground,735,high
meeting,736,high
n,737,high
provide,738,high
questions,739,high
relationship,740,high
september,741,high
sound,742,high
source,743,high
usually,744,high
value,745,high
evidence,746,high
follow,747,high
lives,748,high
official,749,high
ok,750,high
production,751,high
rate,752,high
reading,753,high
round,754,high
save,755,high
stand,756,high
stuff,757,high
tax,758,high
whatever,759,high
amount,760,high
blue,761,high
countries,762,high
david,763,high
drive,764,high
eat,765,high
fall,766,high
fast,767,high
federal,768,high
feeling,769,high
felt,770,high
green,771,high
league,772,high
management,773,high
match,774,high
model,775,high
p,776,high
picture,777,high
size,778,high
step,779,high
trust,780,high
central,782,high
changes,783,high
england,784,high
forward,785,high
groups,786,high
hey,787,high
key,788,high
mom,789,high
o,790,high
page,791,high
paid,792,high
range,793,high
review,794,high
science,795,high
trade,796,high
uk,797,high
upon,798,high
various,799,high
attention,800,high
brother,801,high
cannot,802,high
character,803,high
chief,804,high
cup,805,high
football,806,high
hate,807,high
james,809,high
led,810,high
looked,811,high
lower,812,high
natural,813,high
october,814,high
property,815,high
quality,816,high
send,817,high
style,818,high
u,819,high
vote,820,high
amazing,821,high
august,822,high
blood,823,high
china,824,high
complete,825,high
dog,826,high
economic,827,high
hell,828,high
involved,829,high
itself,830,high
language,831,high
lord,832,high
november,833,high
oil,834,high
related,835,high
serious,836,high
stage,837,high
terms,838,high
title,839,high
add,840,high
article,841,high
attack,842,high
born,843,high
damn,845,high
decided,846,high
decision,847,high
enjoy,848,high
entire,849,high
french,850,high
january,851,high
kill,852,high
met,853,high
perhaps,854,high
poor,855,high
release,856,high
situation,857,high
technology,858,high
turned,859,high
website,860,high
written,861,high
choice,862,high
code,863,high
considered,864,high
continue,865,high
council,866,high
cover,867,high
currently,868,high
door,869,high
election,870,high
european,871,high
events,872,high
f,873,high
financial,874,high
foreign,875,high
hair,876,high
increase,877,high
legal,878,high
lose,879,high
michael,880,high
pick,881,high
race,882,high
seem,883,high
seven,884,high
sign,885,high
simple,886,high
simply,887,high
staff,888,high
super,889,high
union,890,high
walk,891,high
washington,892,high
bed,893,high
began,894,high
built,895,high
career,896,high
changed,897,high
crazy,898,high
daily,899,high
daughter,900,high
december,901,high
die,902,high
difficult,903,high
figure,904,high
hospital,905,high
knows,906,high
loss,907,high
modern,908,high
ones,909,high
paper,910,high
parts,911,high
popular,912,high
published,913,high
safe,914,high
starting,915,high
systems,916,high
version,917,high
voice,918,high
whose,919,high
writing,920,high
army,921,high
australia,922,high
earth,923,high
forget,924,high
goal,925,high
h,926,high
huge,927,high
internet,928,high
listen,929,high
okay,930,high
practice,931,high
rules,932,high
sea,933,high
sir,934,high
success,935,high
towards,936,high
v,937,high
waiting,938,high
ways,939,high
access,940,high
base,942,high
below,943,high
created,944,high
deep,945,high
followed,946,high
la,947,high
lol,948,high
mark,949,high
missing,950,high
offer,951,high
pass,952,high
professional,953,high
released,954,high
risk,955,high
schools,956,high
sleep,957,high
table,958,high
ten,959,high
truth,960,high
ball,961,high
box,962,high
build,963,high
card,964,high
cases,965,high
dark,966,high
district,967,high
europe,968,high
george,969,high
india,970,high
mine,971,high
minister,972,high
note,973,high
percent,974,high
piece,975,high
products,976,high
recent,977,high
seeing,978,high
straight,979,high
visit,980,high
wall,981,high
wanna,982,high
wrote,984,high
allowed,985,high
boys,986,high
culture,987,high
etc,988,high
fans,989,high
february,990,high
gives,991,high
growth,992,high
included,993,high
married,994,high
officer,995,high
pain,996,high
paul,997,high
places,998,high
respect,999,high
response,1000,high
river,1001,high
rock,1002,high
shall,1003,high
speak,1004,high
specific,1005,high
standard,1006,high
tonight,1007,high
write,1008,high
y,1009,high
album,1010,high
century,1011,high
charge,1012,high
cold,1013,high
create,1014,high
effect,1015,high
eight,1016,high
except,1017,high
eye,1018,high
funny,1019,high
ii,1020,high
limited,1021,high
moving,1022,high
network,1023,high
peace,1024,high
provided,1025,high
recently,1026,high
required,1027,high
sales,1028,high
spent,1029,high
store,1030,high
student,1031,high
tomorrow,1032,high
track,1033,high
via,1034,high
watching,1035,high
weight,1036,high
addition,1037,high
ahead,1038,high
allow,1039,high
anti,1040,high
association,1041,high
beat,1042,high
brown,1043,high
capital,1044,high
chinese,1045,high
committee,1046,high
conference,1047,high
difference,1048,high
double,1049,high
expect,1050,high
gas,1051,high
island,1052,high
moved,1053,high
normal,1054,high
plans,1055,high
population,1056,high
potential,1057,high
pressure,1058,high
radio,1059,high
russian,1060,high
station,1061,high
text,1062,high
treatment,1063,high
western,1064,high
ass,1065,high
beginning,1066,high
california,1067,high
campaign,1068,high
certainly,1069,high
completely,1070,high
content,1071,high
credit,1072,high
cross,1073,high
described,1074,high
despite,1075,high
female,1076,high
focus,1077,high
g,1078,high
hi,1079,high
husband,1080,high
ice,1081,high
individual,1082,high
interesting,1083,high
j,1084,high
join,1085,high
kept,1086,high
leading,1087,high
loved,1088,high
message,1089,high
miles,1090,high
nearly,1091,high
particular,1092,high
previous,1093,high
quickly,1094,high
region,1095,high
reported,1096,high
section,1097,high
sort,1098,high
speed,1099,high
travel,1100,high
consider,1101,high
contact,1102,high
drop,1103,high
fair,1104,high
feet,1105,high
jesus,1106,high
kid,1107,high
link,1108,high
positive,1109,high
sale,1110,high
throughout,1111,high
tour,1112,high
welcome,1113,high
absolutely,1114,high
additional,1115,high
beyond,1116,high
conditions,1117,high
earlier,1118,high
extra,1119,high
forces,1120,high
immediately,1121,high
jobs,1122,high
leaving,1123,high
minute,1124,high
nature,1125,high
numbers,1126,high
quick,1127,high
sell,1128,high
significant,1129,high
studies,1130,high
unless,1131,high
winning,1132,high
agree,1133,high
canada,1134,high
clean,1135,high
computer,1136,high
construction,1137,high
episode,1138,high
favorite,1139,high
income,1140,high
justice,1141,high
levels,1142,high
manager,1143,high
movement,1144,high
photo,1145,high
posted,1146,high
safety,1147,high
san,1148,high
scene,1149,high
sold,1150,high
sounds,1151,high
spend,1152,high
statement,1153,high
sun,1154,high
teams,1155,high
ability,1156,high
announced,1157,high
asking,1158,high
calling,1159,high
coach,1160,high
collection,1161,high
continued,1162,high
costs,1163,high
definitely,1164,high
designed,1165,high
expected,1166,high
friday,1167,high
gun,1168,high
happens,1169,high
heavy,1170,high
includes,1171,high
knowledge,1172,high
particularly,1173,high
search,1174,high
subject,1175,high
train,1176,high
wide,1177,high
wow,1178,high
author,1179,high
centre,1180,high
claim,1181,high
dad,1182,high
developed,1183,high
fear,1184,high
fit,1185,high
generally,1186,high
german,1187,high
global,1188,high
goals,1189,high
gotta,1190,high
hotel,1191,high
interested,1192,high
judge,1193,high
lady,1194,high
leader,1195,high
letter,1196,high
lines,1197,high
material,1198,high
named,1199,high
nobody,1200,high
opportunity,1201,high
plus,1202,high
pre,1203,high
product,1204,high
regular,1205,high
secretary,1206,high
sister,1207,high
stories,1208,high
unit,1209,high
workers,1210,high
annual,1211,high
anymore,1212,high
bar,1213,high
battle,1214,high
brain,1215,high
contract,1216,high
degree,1217,high
families,1218,high
features,1219,high
finished,1220,high
floor,1221,high
france,1222,high
growing,1223,high
hurt,1224,high
image,1225,high
insurance,1226,high
majority,1227,high
meant,1228,high
opening,1229,high
opinion,1230,high
physical,1231,high
pro,1232,high
reach,1233,high
rule,1234,high
seriously,1235,high
sports,1236,high
stupid,1237,high
successful,1238,high
active,1239,high
administration,1240,high
approach,1241,high
australian,1242,high
biggest,1243,high
cancer,1244,high
civil,1245,high
dance,1246,high
defense,1247,high
direction,1248,high
independent,1249,high
master,1250,high
none,1251,high
reasons,1252,high
russia,1253,high
ship,1254,high
stock,1255,high
trump,1256,high
weekend,1257,high
wonder,1258,high
worst,1259,high
africa,1260,high
awesome,1261,high
band,1262,high
beach,1263,high
cash,1264,high
clearly,1265,high
commercial,1266,high
compared,1267,high
effort,1268,high
ended,1269,high
fan,1270,high
fighting,1271,high
imagine,1272,high
impact,1273,high
lack,1274,high
latest,1275,high
learning,1276,high
multiple,1277,high
older,1278,high
operation,1279,high
organization,1280,high
passed,1281,high
pictures,1282,high
protect,1283,high
secret,1284,high
senior,1285,high
spring,1286,high
sunday,1287,high
telling,1288,high
wear,1289,high
activities,1290,high
address,1291,high
analysis,1292,high
anyway,1293,high
bought,1294,high
calls,1295,high
choose,1296,high
christmas,1297,high
color,1298,high
commission,1299,high
competition,1300,high
details,1301,high
direct,1302,high
dream,1303,high
easily,1304,high
finish,1305,high
grand,1306,high
increased,1308,high
indian,1309,high
k,1310,high
literally,1311,high
luck,1312,high
marriage,1313,high
names,1314,high
necessary,1315,high
patients,1316,high
resources,1317,high
rich,1318,high
skin,1319,high
speaking,1320,high
supposed,1321,high
sweet,1322,high
thus,1323,high
touch,1324,high
yesterday,1325,high
caught,1326,high
closed,1327,high
congress,1328,high
damage,1329,high
directly,1330,high
disease,1331,high
doctor,1332,high
doubt,1333,high
drink,1334,high
driving,1335,high
established,1336,high
facebook,1337,high
feels,1338,high
fish,1339,high
gay,1340,high
germany,1341,high
glad,1342,high
greater,1343,high
grow,1344,high
largest,1345,high
machine,1346,high
notice,1347,high
overall,1348,high
planning,1349,high
professor,1350,high
programs,1351,high
records,1352,high
reports,1353,high
shown,1354,high
sit,1355,high
trip,1356,high
associated,1357,high
basic,1358,high
captain,1359,high
carry,1360,high
cars,1361,high
crime,1362,high
effective,1363,high
effects,1364,high
explain,1365,high
fully,1366,high
highly,1367,high
holding,1368,high
japan,1369,high
laws,1370,high
male,1371,high
mrs,1372,high
parties,1373,high
plant,1374,high
reality,1375,high
smith,1376,high
spot,1377,high
texas,1378,high
winter,1380,high
worse,1381,high
advice,1382,high
agreement,1383,high
award,1385,high
block,1386,high
broken,1387,high
caused,1388,high
challenge,1389,high
characters,1390,high
christian,1391,high
comment,1392,high
equipment,1393,high
eventually,1394,high
helped,1395,high
holy,1396,high
killing,1397,high
lived,1398,high
lots,1399,high
nation,1400,high
otherwise,1401,high
peter,1402,high
prices,1403,high
primary,1404,high
purpose,1405,high
rates,1406,high
responsible,1407,high
shop,1408,high
showing,1409,high
sick,1410,high
teacher,1411,high
theory,1412,high
uses,1413,high
william,1414,high
agency,1415,high
avoid,1416,high
camera,1417,high
catch,1418,high
cell,1419,high
coast,1420,high
comments,1421,high
drug,1422,high
economy,1423,high
environment,1424,high
executive,1425,high
foot,1426,high
hall,1427,high
mass,1428,high
meaning,1429,high
mission,1430,high
nine,1431,high
officers,1432,high
operations,1433,high
politics,1434,high
pop,1435,high
produced,1436,high
ran,1437,high
saturday,1438,high
status,1439,high
therefore,1440,high
trial,1441,high
truly,1442,high
weather,1443,high
activity,1444,high
app,1445,high
application,1446,high
claims,1447,high
coffee,1448,high
complex,1449,high
condition,1450,high
division,1451,high
evening,1452,high
flight,1453,high
freedom,1454,high
google,1455,high
heat,1456,high
highest,1457,high
interview,1458,high
library,1459,high
located,1460,high
location,1461,high
murder,1462,high
obama,1463,high
offered,1464,high
putting,1465,high
queen,1466,high
seconds,1467,high
showed,1468,high
sitting,1469,high
standing,1470,high
stars,1471,high
walking,1472,high
accept,1473,high
actual,1474,high
appear,1475,high
attempt,1476,high
broke,1477,high
channel,1478,high
distance,1479,high
eating,1480,high
exchange,1481,high
fat,1482,high
fell,1483,high
finding,1484,high
glass,1485,high
learned,1486,high
losing,1487,high
mobile,1488,high
northern,1489,high
opened,1490,high
placed,1491,high
powerful,1492,high
prior,1493,high
protection,1494,high
reached,1495,high
receive,1496,high
religious,1497,high
ride,1498,high
robert,1499,high
royal,1500,high
screen,1501,high
serve,1502,high
signed,1503,high
slow,1504,high
species,1505,high
speech,1506,high
traffic,1507,high
tree,1508,high
types,1509,high
vs,1510,high
wearing,1511,high
whom,1513,high
wonderful,1514,high
agreed,1515,high
airport,1516,high
animals,1517,high
appears,1518,high
begin,1519,high
benefits,1520,high
bottom,1521,high
cities,1522,high
demand,1523,high
engine,1524,high
everybody,1525,high
famous,1526,high
ideas,1527,high
investment,1528,high
keeping,1529,high
lie,1530,high
notes,1531,high
partner,1532,high
plays,1533,high
raised,1534,high
runs,1535,high
sad,1536,high
solution,1537,high
songs,1538,high
sources,1539,high
southern,1540,high
square,1541,high
stopped,1542,high
structure,1543,high
thomas,1544,high
traditional,1545,high
twice,1546,high
wind,1547,high
worry,1548,high
americans,1550,high
appeared,1551,high
becomes,1552,high
brand,1553,high
bus,1554,high
cent,1555,high
chicago,1556,high
count,1557,high
covered,1558,high
critical,1559,high
digital,1560,high
forced,1561,high
fourth,1562,high
fresh,1563,high
lake,1564,high
mental,1565,high
mentioned,1566,high
missed,1567,high
mostly,1568,high
mouth,1569,high
owner,1570,high
photos,1571,high
previously,1572,high
realize,1573,high
remain,1574,high
scale,1575,high
score,1576,high
separate,1577,high
smart,1578,high
starts,1579,high
surface,1580,high
throw,1581,high
tom,1582,high
totally,1583,high
twitter,1584,high
views,1585,high
wedding,1586,high
acting,1588,high
actions,1589,high
african,1590,high
arms,1591,high
benefit,1592,high
budget,1593,high
click,1594,high
estate,1595,high
failed,1596,high
faith,1597,high
fashion,1598,high
feature,1599,high
fund,1600,high
generation,1601,high
hearing,1602,high
hill,1603,high
jack,1604,high
larger,1605,high
louis,1606,high
metal,1607,high
mid,1608,high
paris,1609,high
profile,1610,high
pull,1611,high
push,1612,high
returned,1613,high
rose,1614,high
seat,1615,high
seemed,1616,high
sexual,1617,high
target,1619,high
understanding,1620,high
village,1621,high
agent,1622,high
animal,1623,high
apply,1624,high
authority,1625,high
basis,1626,high
becoming,1627,high
chris,1628,high
draw,1629,high
dude,1630,high
employees,1631,high
enter,1632,high
ex,1633,high
follows,1634,high
foundation,1635,high
gain,1636,high
http,1637,high
individuals,1638,high
japanese,1639,high
leaders,1640,high
memory,1641,high
prime,1642,high
projects,1643,high
ring,1644,high
rise,1645,high
selling,1646,high
served,1647,high
silver,1648,high
soul,1649,high
spread,1650,high
supply,1651,high
waste,1652,high
weird,1653,high
adult,1654,high
apparently,1655,high
artist,1656,high
chairman,1657,high
edition,1658,high
engineering,1659,high
grade,1660,high
happening,1661,high
healthy,1662,high
institute,1663,high
method,1664,high
mike,1665,high
monday,1666,high
nations,1667,high
obviously,1668,high
option,1669,high
prison,1670,high
provides,1671,high
remains,1672,high
senate,1673,high
smaller,1674,high
somebody,1675,high
stone,1676,high
strength,1677,high
users,1678,high
wild,1679,high
window,1680,high
winner,1681,high
arrived,1682,high
bag,1683,high
bet,1684,high
camp,1685,high
cast,1686,high
christ,1687,high
continues,1688,high
correct,1689,high
dangerous,1690,high
ed,1691,high
extremely,1692,high
firm,1693,high
greatest,1694,high
handle,1695,high
improve,1696,high
indeed,1697,high
leaves,1698,high
movies,1699,high
negative,1700,high
prevent,1701,high
removed,1702,high
richard,1703,high
spirit,1704,high
television,1705,high
till,1706,high
trouble,1707,high
usa,1708,high
videos,1709,high
advantage,1710,high
apart,1711,high
aware,1712,high
cat,1713,high
customers,1714,high
decide,1715,high
dinner,1716,high
dollars,1717,high
eastern,1718,high
fifth,1719,high
function,1720,high
gift,1721,high
helping,1722,high
herself,1723,high
impossible,1724,high
influence,1725,high
items,1726,high
joe,1727,high
los,1728,high
marketing,1729,high
mary,1730,high
materials,1731,high
nor,1732,high
produce,1733,high
progress,1734,high
proud,1735,high
require,1736,high
shooting,1737,high
shut,1738,high
standards,1739,high
tells,1740,high
thinks,1741,high
van,1742,high
wood,1743,high
background,1744,high
birth,1745,high
bridge,1746,high
carried,1747,high
charles,1748,high
classes,1749,high
completed,1750,high
concept,1751,high
copy,1752,high
dear,1753,high
dogs,1754,high
drugs,1755,high
efforts,1756,high
garden,1757,high
host,1758,high
housing,1759,high
inc,1760,high
israel,1761,high
journal,1762,high
labor,1763,high
leadership,1764,high
length,1765,high
lucky,1766,high
neither,1767,high
onto,1768,high
patient,1769,high
possibly,1770,high
prove,1771,high
rare,1772,high
setting,1773,high
skills,1774,high
software,1775,high
thousands,1776,high
tough,1777,high
units,1778,high
ad,1779,high
alive,1780,high
apple,1781,high
balance,1782,high
birthday,1783,high
bitch,1784,high
boss,1785,high
cards,1786,high
changing,1787,high
connection,1788,high
dress,1789,high
easier,1790,high
fellow,1791,high
florida,1792,high
horse,1793,high
knowing,1794,high
liked,1795,high
magic,1796,high
managed,1797,high
map,1798,high
net,1799,high
owned,1800,high
request,1801,high
stick,1802,high
turns,1804,high
vehicle,1805,high
volume,1806,high
wake,1807,high
aid,1808,high
beauty,1809,high
believed,1810,high
billion,1811,high
busy,1812,high
buying,1813,high
cells,1814,high
concerned,1815,high
conversation,1816,high
corner,1817,high
criminal,1818,high
cultural,1819,high
develop,1820,high
driver,1821,high
ends,1822,high
existing,1823,high
farm,1824,high
file,1825,high
fix,1826,high
fly,1827,high
frank,1828,high
guide,1829,high
images,1830,high
investigation,1831,high
mexico,1832,high
operating,1833,high
paying,1834,high
presented,1835,high
raise,1836,high
responsibility,1837,high
roll,1838,high
slightly,1839,high
suggest,1840,high
surprise,1841,high
technical,1842,high
thoughts,1843,high
treat,1844,high
unique,1845,high
variety,1846,high
violence,1847,high
weapons,1848,high
yours,1849,high
youth,1850,high
appreciate,1852,high
bigger,1853,high
breaking,1854,high
discovered,1855,high
dont,1856,high
dry,1857,high
edge,1858,high
evil,1859,high
excited,1860,high
forever,1861,high
funds,1862,high
helps,1863,high
henry,1864,high
injury,1865,high
iron,1866,high
lovely,1867,high
mad,1868,high
magazine,1869,high
martin,1870,high
models,1871,high
offers,1872,high
ordered,1873,high
parliament,1874,high
prepared,1875,high
reference,1876,high
religion,1877,high
sites,1878,high
somewhere,1879,high
stated,1880,high
strategy,1881,high
teachers,1882,high
web,1883,high
wine,1884,high
accounts,1885,high
angeles,1886,high
arm,1887,high
audience,1888,high
bay,1889,high
blog,1890,high
closer,1891,high
core,1892,high
democratic,1893,high
description,1894,high
dropped,1895,high
excellent,1896,high
exist,1897,high
figures,1898,high
forms,1899,high
guard,1900,high
honest,1901,high
issued,1902,high
joined,1903,high
jones,1904,high
lee,1905,high
lies,1906,high
likes,1907,high
medicine,1908,high
mention,1909,high
mountain,1910,high
nuclear,1911,high
orders,1912,high
port,1913,high
presence,1914,high
reaction,1915,high
reduce,1916,high
shoot,1917,high
sides,1918,high
solid,1919,high
spanish,1920,high
sport,1921,high
steps,1922,high
stress,1923,high
taste,1924,high
tea,1925,high
victory,1926,high
afternoon,1927,high
assistant,1928,high
britain,1929,high
citizens,1930,high
classic,1931,high
clothes,1932,high
decisions,1933,high
electric,1934,high
emergency,1935,high
entered,1936,high
entirely,1937,high
facts,1938,high
failure,1939,high
festival,1940,high
flat,1941,high
fuel,1942,high
harry,1943,high
hello,1944,high
houses,1945,high
ill,1946,high
initial,1947,high
introduced,1948,high
johnson,1949,high
kick,1950,high
links,1951,high
mail,1952,high
massive,1953,high
matters,1954,high
pair,1955,high
picked,1956,high
pieces,1957,high
plane,1958,high
plenty,1959,high
prince,1960,high
proper,1961,high
providing,1962,high
quarter,1963,high
regional,1964,high
scott,1965,high
session,1966,high
shape,1967,high
sky,1968,high
